OID,Name,Shape_Length
1,Bowl Track,577.889620396176
8,Kaiti Hill Walking Track,413.037900104542
11,Kaiti Hill Walking Track,79.9567148622114
15,Kaiti Hill Walking Track,192.833502463846
18,Kaiti Hill Walking Track,134.188466137797
22,Kaiti Hill Walking Track,33.7380976651947
23,Kaiti Hill Walking Track,177.34454098865
26,Kaiti Hill Walking Track,73.4635013831618
30,Kaiti Hill Walking Track,246.726835843632
32,,19.1722326459288
33,,60.3142049405129
34,Kaiti Hill Walking Track,66.9854623177855
36,,43.7351221580351
37,,111.726523613669
38,Kaiti Hill Walking Track,70.211497503104
39,Kaiti Hill Walking Track,30.5499170498994
40,,146.054390324428
41,Home Guard Track,540.29410231404
