OBJECTID,name,Shape_Length,main_trail,locality,walk,bike,off_road_vehicle,mobility_access,horse,dog_access,dog_weblink,conditions_of_use,status,description,weblink,image_link,managed_by,data_supplier,spatial_accuracy,date_modified,local_authority
1,,175.832646868738,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
2,,15.5073609088323,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
3,Stout Street,213.950853184413,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
4,Alfred Cox,237.558565738563,,Gisborne,,,,,,,,,,,,,,,,,Gisborne District Council
5,Stout Street,116.738447347767,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
6,Stout Street,74.2627981856767,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
7,,367.739938586893,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
8,,73.4635013831618,,Kaiti Hill,,,,,,,,,,,,,,,,,Gisborne District Council
9,,186.734946705141,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
10,,890.805074888035,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
11,,182.045330414504,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
12,,977.285081928187,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
13,,1323.92465187062,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
14,,55.9159030421986,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
15,,850.427391653408,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
16,,743.831430328098,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
17,,942.771430376323,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
18,,513.39410084345,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
19,Wharekopae Road,843.882128389992,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
20,,656.058487156341,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
21,,732.049430282261,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
22,,796.031538186229,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
23,,762.313498235296,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
24,Motu Trail,21886.5266811183,Motu Trail,,99,99,99,,99,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,
25,Wharekopae Road,590.75270978858,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
26,,537.59678433019,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
27,Tahora Road,3820.81552913939,,Gisborne District [Wharekopae],,,,,,,,,,,,,,,,,
28,,276.296661028366,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
29,,328.216524533952,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
30,,449.829946968666,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
31,,961.462440963572,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
32,,355.768653620329,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
33,Te Wera Road,373.299706637381,,Gisborne District [Matawai],,,,,,,,,,,,,,,,,
34,,414.56692563375,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
35,,177.204359302804,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
36,,359.897144335426,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
37,,463.317495496727,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
38,,220.038110187913,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
39,,222.764340108045,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
40,,174.640243169265,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
41,,99.0048248027583,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
42,,1338.39518822487,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
43,,680.044173382246,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
44,,330.846029800129,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
45,Tucker Road,798.902815580604,,Gisborne District [Makauri-Waerengaahika],,,,,,,,,,,,,,,,,
46,Accessway,117.19748726824,,Derby St - Stafford St,,,,,,,,,,,,,,,,,
47,City Rivers,178.776400920102,,Gisborne,,,,,,,,,,,,,,,,,Gisborne District Council
48,Stout Street,135.299138618733,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
49,Stafford Street,68.9800661860321,,Gisborne District [Whataupoko],,,,,,,,,,,,,,,,,
50,,1352.64426130229,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
51,,3393.14725681274,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
52,,2147.2109042379,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
53,,381.468832829433,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
54,,930.135950790031,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
55,Matawai Road,210.831260566514,,Gisborne District [Waerengaahika-Matawai],,,,,,,,,,,,,,,,,
56,,55.7971829017357,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
57,,322.629914668175,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
58,,3752.19581080255,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
59,,254.258082724837,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
60,Tiniroto Road,432.222445312964,,Gisborne District [Patutahi-Tiniroto],,,,,,,,,,,,,,,,,
61,Greys Bush Track,31.4714279621471,Greys Bush Track,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
62,,176.621594749519,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
63,Stout Street,45.7204957089461,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
64,Stout Street,64.740681245922,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
65,Matawai Road,2372.21819432373,,Gisborne District [Waerengaahika-Matawai],,,,,,,,,,,,,,,,,
66,,973.651746226634,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
67,,649.794978440537,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
68,Tahora Road,5049.69967355275,,Gisborne District [Wharekopae],,,,,,,,,,,,,,,,,
69,,1172.39279061568,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
70,,449.836487452041,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
71,Stout Street,246.209092426329,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
72,Alfred Cox,106.970861487079,,Gisborne,,,,,,,,,,,,,,,,,Gisborne District Council
73,Stout Street,38.7536067880149,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
74,Rua'S Track - Waimaha To Anini Clearing,11893.066125655,,,5,99,99,,99,,,,,Rua'S Tk - Waimaha To Anini Clearing,,,DOC,DOC,,,
75,,9576.25133211111,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
76,,4177.17022892814,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
77,Motu Road Trail,21868.8548981421,Motu Road,Opotiki District [Toatoa],,,,,,,,,,,,,,,,,Gisborne District Council
78,,1154.12851744612,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
79,,396.965530616447,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
80,East Cape Loop - Opotiki To Gisborne,203025.130995033,,,99,99,99,,99,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,
81,,1406.93442187681,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
